episode,total_reward
717,-578.0
718,-916.0
719,-249.0
720,-276.0
721,-379.0
722,-188.0
723,-541.0
724,-400.0
725,-573.0
726,-208.0
727,-214.0
728,-294.0
729,-257.0
730,-630.0
731,-207.0
732,-146.0
733,-278.0
734,-348.0
735,-80.0
736,-220.0
737,-627.0
738,-296.0
739,-199.0
740,-69.0
741,-228.0
742,-141.0
743,-142.0
744,-647.0
745,-170.0
746,-808.0
747,-385.0
748,-256.0
749,-76.0
750,-126.0
751,-302.0
752,-516.0
753,-254.0
754,-225.0
755,-137.0
756,-325.0
757,-439.0
758,-415.0
759,-422.0
760,-342.0
761,-620.0
762,-230.0
763,-308.0
764,-170.0
765,-15.0
766,-871.0
767,-570.0
768,-391.0
769,-127.0
770,-389.0
771,-806.0
772,-22.0
773,-507.0
774,-181.0
775,-215.0
776,-79.0
777,-368.0
778,-188.0
779,-380.0
780,-676.0
781,-177.0
782,-215.0
783,-223.0
784,-99.0
785,-488.0
786,-454.0
787,-45.0
788,-248.0
789,-350.0
790,-630.0
791,-384.0
792,-322.0
793,-402.0
794,-641.0
795,-82.0
796,-245.0
797,-357.0
798,-294.0
799,-521.0
800,-272.0
801,-368.0
802,-185.0
803,-333.0
804,-466.0
805,-133.0
806,-321.0
807,-161.0
808,-502.0
809,-222.0
810,-131.0
811,-201.0
812,-453.0
813,-171.0
814,-525.0
815,-57.0
816,-180.0
817,-73.0
818,-558.0
819,-241.0
820,-531.0
821,-632.0
822,-72.0
823,-221.0
824,-333.0
825,-192.0
826,-209.0
827,-253.0
828,-634.0
829,-37.0
830,-350.0
831,-137.0
832,-210.0
833,-197.0
834,-568.0
835,-150.0
836,-134.0
837,-489.0
838,-441.0
839,-348.0
840,-78.0
841,-245.0
842,-94.0
843,-228.0
844,-355.0
845,-208.0
846,-182.0
847,-421.0
848,-238.0
849,-82.0
850,-50.0
851,-89.0
852,-73.0
853,-158.0
854,-165.0
855,-453.0
856,-145.0
857,-62.0
858,-176.0
859,-123.0
860,-318.0
861,-249.0
862,-329.0
863,-252.0
864,-204.0
865,-171.0
866,-188.0
867,-145.0
868,-123.0
869,-557.0
870,-46.0
871,-389.0
872,-386.0
873,-146.0
874,-403.0
875,-275.0
876,-120.0
877,-272.0
878,-348.0
879,-194.0
880,-306.0
881,-145.0
882,-133.0
883,-300.0
884,-407.0
885,-199.0
886,-684.0
887,-257.0
888,-219.0
889,-31.0
890,-51.0
891,-153.0
892,-260.0
893,-241.0
894,-772.0
895,-660.0
896,-255.0
897,-58.0
898,-193.0
899,-311.0
900,-49.0
901,-474.0
902,-342.0
903,-115.0
904,-167.0
905,-158.0
906,-57.0
907,-97.0
908,-171.0
909,-127.0
910,-264.0
911,-108.0
912,-254.0
913,-193.0
914,-254.0
915,-183.0
916,-147.0
917,-206.0
918,-403.0
919,-98.0
920,-432.0
921,-236.0
922,-92.0
923,-58.0
924,-393.0
925,-150.0
926,-943.0
927,-228.0
928,-158.0
929,-340.0
930,-52.0
931,-31.0
932,-241.0
933,-347.0
934,-9.0
935,-161.0
936,-88.0
937,-333.0
938,-434.0
939,-294.0
940,-161.0
941,-301.0
942,-237.0
943,-241.0
944,-233.0
945,-102.0
946,-538.0
947,-213.0
948,-629.0
949,-598.0
950,-269.0
951,-277.0
952,-190.0
953,-165.0
954,-445.0
955,-456.0
956,-493.0
957,-305.0
958,-206.0
959,-99.0
960,-150.0
961,-222.0
962,-369.0
963,-322.0
964,-231.0
965,-259.0
966,-213.0
967,-350.0
968,-222.0
969,-234.0
970,-574.0
971,-354.0
972,-127.0
973,-344.0
974,-92.0
975,-354.0
976,-135.0
977,-630.0
978,-337.0
979,-18.0
980,-159.0
981,-529.0
982,-10.0
983,-224.0
984,-107.0
985,-233.0
986,-592.0
987,-317.0
988,-13.0
989,-327.0
990,-103.0
991,-117.0
992,-133.0
993,-71.0
994,-466.0
995,-370.0
996,-358.0
997,-162.0
998,-333.0
999,-203.0
1000,-230.0
1001,-16.0
1002,-167.0
1003,-103.0
1004,-176.0
1005,-240.0
1006,-217.0
1007,-137.0
1008,-209.0
1009,-312.0
1010,-224.0
1011,-268.0
1012,-123.0
1013,-226.0
1014,-189.0
1015,-651.0
1016,-161.0
1017,-145.0
1018,-412.0
1019,-108.0
1020,-324.0
1021,-207.0
1022,-275.0
1023,-306.0
1024,-153.0
1025,-317.0
1026,-85.0
1027,-71.0
1028,-183.0
1029,-345.0
1030,-172.0
1031,-372.0
1032,-90.0
1033,-19.0
1034,-486.0
1035,-73.0
1036,-291.0
1037,-163.0
1038,-33.0
1039,-323.0
1040,-271.0
1041,-95.0
1042,-102.0
1043,-135.0
1044,-289.0
1045,-166.0
1046,-206.0
1047,-204.0
1048,-294.0
1049,-155.0
1050,-350.0
1051,-241.0
1052,-249.0
1053,-95.0
1054,-195.0
1055,-89.0
1056,-116.0
1057,-119.0
1058,-169.0
1059,-333.0
